"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"302","City and County of San Francisco : Data, Results, Maps",1466,70.6,32.47,"1M 25S",15721,10268
"303","San Francisco Port Department",4302,0.12,24.93,"16S",15671,5446
"304","Mayor's Office of Housing : Homebuyers",5679,60.71,37.19,"1M 16S",15600,12118
"305","San Francisco Port Department : Pier 70 Area",5700,27.07,29.29,"27S",15563,6985
"306","Mayor's Office of Housing and Community Development : New BMR Units: 400 Grove Street",5444,76.4,46.56,"2M 36S",15444,12429
"307","City and County of San Francisco : Birth & Death",1210,33.39,6.34,"12S",15368,11001
"308","San Francisco 311 : Search",1702,92.89,45.89,"1M 21S",15305,14511
"309","San Francisco Port Department : James R. Herman Cruise Terminal Project at Pier 27",7457,23.15,46.9,"38S",15289,8047
"310","Board of Supervisors : David Campos",4990,53.33,28.57,"46S",15273,11499
"311","City and County of San Francisco : Office of the Medical Examiner",9036,33.7,34.16,"55S",15264,9782
"312","Board of Supervisors : Eric Mar",3840,53.59,22.75,"49S",15206,11269
"313","Office of the Mayor : Redirect",14881,98.18,97.72,"59S",15147,14915
"314","City and County of San Francisco : Births & Deaths",1100,35.91,6.16,"12S",15057,10397
"315","Marriage | Office of the County Clerk",726,14.41,4.48,"18S",15000,8310
"316","San Francisco Police Department : Northern Station",5646,78.52,42.61,"51S",14983,12942
"317","San Francisco 311 : Assessor-Recorder - Owner of Property in San Francisco - 106765",10101,70.17,65.65,"2M 31S",14976,10716
"318","San Francisco Department of Human Resources : Employee Leaves",5924,75.76,56.68,"3M 28S",14931,12274
"319","Residents | Welcome",2767,38.29,18.18,"21S",14861,9049
"320","City and County of San Francisco : LBE Certification",5621,30.14,18.71,"44S",14780,11885
"321","San Francisco Public Works : Contractor Resources",4012,14.33,32.43,"36S",14759,6807
"322","Board of Supervisors : District Information",3452,68.08,36.09,"1M 33S",14676,11249
"323","Application For Report of Residential Building Record | Department of Building Inspection",8514,68.97,68.37,"3M 48S",14563,11488
"324","City and County of San Francisco : Services",1640,32.38,9.1,"14S",14531,10024
"325","Customer Service | Treasurer & Tax Collector",774,47.62,27.32,"1M 29S",14485,9221
"326","San Francisco Public Works : Applications and Documents",3157,15.65,26.65,"54S",14465,6144
"327","Mayor's Office of Housing and Community Development : New BMR Units: 1875 Mission Street (M@1875)",5426,76.5,50.55,"2M 53S",14450,11401
"328","San Francisco Police Department : Administration",3712,78.85,29.2,"41S",14430,11817
"329","City and County of San Francisco : Dog License Information",10149,69.53,64.34,"2M 58S",14407,11995
"330","San Francisco Port Department : ImPark Cruise Page 2012",3695,5.2,30.62,"45S",14335,5920
"331","Animal Care & Control",9453,14.59,22.38,"47S",14309,10184
"332","Mayor's Office of Housing and Community Development : Housing Email Alert Subscription",4225,76.24,43.88,"2M 15S",14291,12360
"333","San Francisco 311 : Redirect",13941,97.88,97.14,"1M 24S",14273,14011
"334","Department of Child Support Services",9792,31.39,33.34,"53S",14222,11218
"335","Mayor's Office of Housing and Community Development : BMR LEP Units: The SF Shipyard",9177,69.87,63.86,"5M 2S",14118,11222
"336","San Francisco Department of Human Resources : Public Posting of Pending Actions",2451,80.17,45.7,"1M 40S",14035,11852
"337","San Francisco Police Department : Application and Selection Procedures",3961,71.9,51.95,"3M 16S",13880,12465
"338","San Francisco 311 : Garbage & Graffiti",1973,47.09,12.11,"21S",13786,10186
"339","Mayor's Office of Housing and Community Development : Downpayment Assistance Loan Program (DALP)",8302,79.64,66.29,"3M 50S",13751,11946
"340","San Francisco Police Department : Tenderloin Station",4680,81.84,41.48,"56S",13707,11562
"341","How to Read Your Property Tax Bill | Treasurer & Tax Collector",5633,76.19,48.85,"1M 31S",13617,12309
"342","San Francisco Port Department : Street Performer Program",6198,42.03,49.11,"1M 2S",13608,7191
"343","City and County of San Francisco : City Hall Tours",4860,73.72,50.01,"1M 32S",13581,11076
"344","San Francisco Port Department : Ace Parking",4652,5.91,29.73,"40S",13563,5961
"345","City and County of San Francisco : Frequently Asked Questions",4814,77.61,52.49,"1M 59S",13558,11548
"346","San Francisco Police Department : Operations",2636,87.1,24.31,"33S",13550,11005
"347","City and County of San Francisco : Office of Contract Administration (OCA)",7269,43.57,35.55,"1M 5S",13345,8518
"348","San Francisco 311 : Abandoned Vehicles",9585,79.8,74.88,"2M 38S",13216,10704
"349","Department on the Status of Women",7867,37.91,35.11,"1M 14S",13176,9835
"350","San Francisco Public Works : Organizational Chart",1888,11.81,22.44,"32S",13156,6023
"351","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 21 Clarence Place, Unit 211",8819,75.98,67,"3M 47S",13124,10073
"352","San Francisco Police Department : Special Operations",2261,90.49,24.87,"35S",13066,10758
"353","Department of Children, Youth and Their Families : Employment Opportunities",2996,65.7,34.48,"1M 57S",13041,5232
"354","City and County of San Francisco : Alemany Farmers' Market",10437,75.39,72.4,"1M 59S",13035,10739
"355","San Francisco Police Department : Bayview Station",4415,84.33,40.08,"52S",13025,11278
"356","Controller : PPSD Home Page",10637,87.26,80,"2M 8S",12967,11920
"357","San Francisco Police Department : General Information and Qualifications",3016,27.92,21.18,"1M 19S",12868,10654
"358","Board of Supervisors : Assessment Appeals",9065,68.47,58.37,"3M 1S",12839,10257
"359","San Francisco Port Department : Maps and Public Webcams",1309,9.47,12.93,"19S",12808,4073
"360","Plan Review Services | Department of Building Inspection",1808,43.49,18.3,"42S",12777,8961
"361","San Francisco Port Department : 2016 Cruise Schedule",3388,17.77,34.15,"39S",12771,5914
"362","Home | Fire Department",7876,27.13,27.9,"1M 1S",12762,9486
"363","Office of the Mayor : Internship Program",6832,58.02,48.19,"1M 39S",12759,8309
"364","City and County of San Francisco : Mayor's Office on Disability",7025,51.46,39.15,"2M 9S",12629,8317
"365","San Francisco Police Department : Taraval Station",4801,80.5,43.69,"56S",12587,10746
"366","San Francisco Public Works : Sidewalk Landscaping Permits",3034,13.58,27.21,"1M 1S",12586,4608
"367","City and County of San Francisco : Documents",1088,58.31,21.05,"54S",12585,9510
"368","Visit Treasure and Yerba Buena Islands | Treasure Island Development Authority",6832,36.88,33.33,"44S",12568,9945
"369","Board of Supervisors : John Avalos",3203,52.42,26.42,"47S",12561,8943
"370","San Francisco Police Department : Park Station",4608,82.4,41.76,"48S",12556,10857
"371","San Francisco Rent Board : Topic No. 201: Overview of Just Cause Evictions",2598,69.86,30.37,"1M 53S",12528,10877
"372","San Francisco Public Works : Graffiti",4392,25.96,36.89,"39S",12514,5809
"373","SFGov",5787,81.41,46.81,"1M 4S",12436,9722
"374","City and County of San Francisco : Forms - Fictitious Business Name",531,63.84,40.19,"2M 39S",12397,8507
"375","Quarterly Filing | Treasurer & Tax Collector",1152,24.59,18.12,"1M 46S",12318,7643
"376","City and County of San Francisco : C. Covered Employees",2039,57.92,41.44,"3M 18S",12280,9445
"377","San Francisco Port Department : 2015",357,3.36,5.27,"8S",12272,4198
"378","Film Commission : Redirect",11782,95.84,94.99,"1M 20S",12261,11812
"379","City and County of San Francisco : Vendor Information",1558,35.69,18.37,"1M 0S",12245,8631
"380","San Francisco Public Works : Street Tree Removal Permitting Process",4810,24.55,41.12,"59S",12178,6284
"381","Board of Supervisors : Norman Yee",2931,51.86,22.41,"42S",12174,8920
"382","Most Requested | Department of Building Inspection",1899,53.82,32.45,"57S",12172,9241
"383","Board of Supervisors : Land Use and Transportation Committee",5849,77.16,57.25,"2M 1S",12139,9013
"384","San Francisco 311 : Transportation",2084,54.51,17.89,"25S",12091,9716
"385","San Francisco Law Library : Redirect",11830,97.55,97.1,"56S",12076,11847
"386","San Francisco Department of Human Resources : Employee Training",2929,47.12,21.03,"38S",12061,8708
"387","US Passport | Treasurer & Tax Collector",8047,67.58,69.4,"4M 17S",12017,9434
"388","San Francisco Ethics Commission: Campaign Finance Filings and Data",2417,57.47,56.46,"3M 5S",11879,9085
"389","Mayor's Office of Housing and Community Development : Documents Governing and Explaining the Inclusionary Housing Program",4181,75.77,48.51,"2M 35S",11875,9776
"390","Juvenile Probation Department",6788,30.94,31.05,"59S",11837,8106
"391","Board of Appeals",7135,23.57,22.45,"47S",11825,8900
"392","San Francisco 311 : San Francisco 311 Agency CRM Links",9427,85.85,79.98,"6M 0S",11741,9608
"393","How To Get Here | Treasure Island Development Authority",6299,70.12,57.78,"1M 47S",11735,9125
"394","Controller : Getting Started with eMerge PeopleSoft",9661,90.9,81.98,"4M 19S",11706,10148
"395","Administrative Services | Department of Building Inspection",2482,45,26.47,"1M 13S",11639,8533
"396","San Francisco Police Department : Chief Of Police",1989,90.6,27.11,"45S",11632,9625
"397","Submitted Street Space Site Meeting Request",6593,84.38,60.98,"6M 21S",11619,11217
"398","San Francisco : Help",5481,63.46,50.13,"1M 16S",11619,8976
"399","Mayor's Office of Housing and Community Development : BMR Re-Rental Units: 8 10th Street, Units 311, 323, 511, 1427",7821,71.35,64.3,"3M 44S",11577,8908
"400","San Francisco Port Department : Permit Services",1698,7.36,25.7,"44S",11572,4289
"401","San Francisco Police Department : Richmond Station",3909,80.89,40.15,"46S",11553,9725
"402","City and County of San Francisco : Directions to City Hall",8041,80.16,74.32,"3M 8S",11482,9804
"403","Public Auction Sales of Tax-Defaulted Property | Treasurer & Tax Collector",7517,69.47,66.18,"3M 15S",11459,8746
"404","City and County of San Francisco : Deputy Marriage Commissioner for a Day",3243,76.5,44.01,"2M 2S",11382,9807
"405","Mayor's Office of Housing and Community Development : BMR New Rental Units: 529 Stevenson Street/550 Jesse Street, 9 Studio Units",6803,68.48,59.76,"3M 25S",11368,9179
"406","San Francisco Rent Board : Topic No. 154: Limits on Rent Charged By Master Tenants",4252,78.27,43.13,"2M 5S",11327,10110
"407","Board of Supervisors : Budget & Finance Committee Meetings",1351,83.12,32.25,"1M 28S",11314,6628
"408","Board of Supervisors : About the Board",1478,52.84,18.32,"34S",11306,8918
"409","San Francisco Rent Board : Fact Sheet 4 - Eviction Issues",5453,72.62,58.51,"4M 43S",11294,10005
"410","Mayor's Office of Housing and Community Development : Income Limits and Rent Limits for Below Market Rate Rental Units",4669,70.31,49.74,"2M 7S",11272,9428
"411","Office of Citizen Complaints",6989,29.63,31.91,"1M 1S",11140,8257
"412","Mayor's Office of Housing and Community Development : BMR Re-Rental Unit: 2235 3rd Street, Unit E408 (Potrero Launch)",7388,77.52,63.98,"2M 59S",11065,9028
"413","Mayor's Office of Housing and Community Development : BMR: Re-Rental Unit: 2235 3rd Street, Unit E221",7272,76.17,64.51,"3M 2S",11050,8944
"414","Board of Supervisors : Legislative Research Center (LRC)",3747,48.95,42.58,"1M 41S",11035,8236
"415","San Francisco Police Department : Chief Of Staff",2546,83.9,26.36,"35S",11022,9147
"416","San Francisco Fire Department : Search",1281,88.6,28.84,"55S",10982,10200
"417","What is Human Trafficking? | Human Rights Commission",9440,87.46,85.87,"5M 41S",10921,9466
"418","Board of Supervisors : Newsletter",2699,70.03,40.42,"1M 37S",10888,8518
"419","San Francisco Department of Human Resources : Citywide Classification Based Examination Plan for Fiscal Year 2014/15",3350,60.93,40.2,"2M 18S",10887,8993
"420","City and County of San Francisco : Sanctuary Ordinance",8822,72.82,68.52,"1M 57S",10883,9047
"421","San Francisco Public Works : Street Tree Planting Permitting Process",2985,16.08,33.83,"1M 1S",10883,5017
"422","San Francisco Police Department : Most Wanted",5366,59.22,45.3,"2M 1S",10878,8015
"423","San Francisco Police Department : Towed Vehicle Information",9195,85.88,82.06,"4M 28S",10822,9807
"424","San Francisco Port Department : James R. Herman Cruise Terminal at Pier 27",3838,26.39,36.37,"34S",10818,5175
"425","San Francisco Department of Emergency Management : Policy & Protocol Manuals",5238,65.78,53.11,"2M 9S",10748,7869
"426","San Francisco Department of Human Resources : About DHR",3660,29.81,18.45,"35S",10742,9006
"427","San Francisco Public Works : Don't Leave it on the Sidewalk!",5189,39.68,49.07,"49S",10724,6119
"428","2014_San_Francisco_Business_Gross_Receipts_Tax_Worksheet.pdf | Treasurer & Tax Collector",468,32.69,18.89,"2M 9S",10703,6588
"429","Gross Receipts Tax | Treasurer & Tax Collector",457,16.19,4.23,"26S",10701,7718
"430","San Francisco 311 : San Francisco Victim Services",8796,75,72.56,"2M 16S",10687,8849
"431","Mayor's Office of Housing : Multi-Family Units: 280 Beale Street",7047,82.6,71.36,"4M 4S",10666,8758
"432","San Francisco : San Francisco Municipal Transportation Agency",7753,78.31,74.87,"1M 50S",10622,8791
"433","San Francisco Rent Board : Fact Sheet 7 - Annual Allowable Rent Increases and Banked Rent Increases",6261,73.71,62.99,"4M 44S",10615,9357
"434","Special Events: Unique Venues, Million Dollar Views | Treasure Island Development Authority",2841,54.4,36.92,"1M 16S",10613,7044
"435","City and County of San Francisco : D. Calculating Health Care Expenditures",1758,53.36,38.27,"3M 41S",10561,7839
"436","San Francisco Police Department : Ingleside Station",3219,84.41,39.57,"51S",10532,9139
"437","San Francisco Department of Human Resources : Citywide Classification Based Examination Plan for Fiscal Year 2015/2016",3433,65.42,44.03,"2M 42S",10531,8911
"438","Mayor's Office of Housing : Housing Home",4091,45.07,26.06,"45S",10449,8202
"439","Permit Process & Issuance | Department of Building Inspection",383,63.21,24.53,"1M 13S",10443,7788
"440","City and County of San Francisco : Declaration of Domestic Partnership",5141,55.42,43.53,"2M 7S",10418,7963
"441","San Francisco Port Department : Agendas and Minutes",906,1.77,3.96,"5S",10366,4104
"442","Inspection Services Divisions | Department of Building Inspection",4297,49.31,36.73,"1M 28S",10237,8337
"443","San Francisco Port Department : Executive Staff",2671,14.64,30.65,"44S",10213,4633
"444","San Francisco 311 : Parking in San Francisco",4856,70.18,62.12,"1M 39S",10153,8583
"445","City and County of San Francisco : Formula Retail Employee Rights Ordinances",5586,79.11,70.26,"4M 36S",10146,8120
"446","San Francisco Department of Human Resources : Redirect",9711,95.34,94.38,"55S",10132,9728
"447","Mayor's Office of Housing and Community Development : Multifamily Units: 217 Eddy Street - Franciscan Towers",5519,79.36,60.73,"2M 49S",10131,8328
